Random;Random
5;010;0
11;1
12;2
12;7
12;12
15;15
15;20
18;23
19;24
24;24
25;25
26;26
26;31
31;31
32;32
35;35
38;38
38;43
39;44
39;49
40;50
41;51
41;56
44;59
45;60
45;65
48;68
53;68
56;71
61;71
62;72
62;77
67;77
67;82
72;82
72;87
75;90
78;93
78;98
83;98
86;101
89;104
90;105
91;106
96;106
101;106
106;106
109;109
114;109
115;110
120;110
120;115
120;120
125;120
126;121
127;122
127;127
127;132
132;132
135;135
135;140
140;140
145;140
145;145
146;146
149;149
150;150
155;150
156;151
161;151
164;154
165;155
166;156
167;157
167;162
167;167
168;168
168;173
169;174
170;175
171;176
176;176
176;181
179;184
179;189
182;192
185;195
190;195
195;195
200;195
201;196
206;196
206;201
206;206
206;211
211;211
214;214
219;214
219;219
