Random;Random
3;34;4
4;9
5;10
5;15
5;20
8;23
13;23
13;28
14;29
14;34
17;37
17;42
17;47
18;48
18;53
19;54
19;59
24;59
29;59
32;62
37;62
42;62
43;63
48;63
51;66
51;71
52;72
55;75
58;78
59;79
64;79
67;82
68;83
73;83
74;84
79;84
82;87
85;90
86;91
89;94
90;95
91;96
91;101
94;104
94;109
95;110
98;113
99;114
102;117
103;118
104;119
104;124
107;127
110;130
115;130
120;130
123;133
123;138
123;143
123;148
126;151
126;156
127;157
132;157
133;158
136;161
139;164
144;164
147;167
148;168
153;168
153;173
158;173
163;173
168;173
168;178
168;183
173;183
174;184
179;184
184;184
184;189
189;189
190;190
195;190
195;195
200;195
201;196
201;201
204;204
205;205
205;210
210;210
215;210
220;210
220;215
225;215
226;216
227;217
