Random;Random
1;16;1
9;4
9;9
9;14
14;14
14;19
17;22
22;22
27;22
32;22
32;27
35;30
36;31
37;32
38;33
38;38
41;41
46;41
47;42
50;45
50;50
51;51
52;52
52;57
52;62
52;67
55;70
60;70
65;70
70;70
70;75
70;80
73;83
76;86
77;87
80;90
80;95
81;96
86;96
91;96
92;97
92;102
95;105
96;106
96;111
96;116
101;116
104;119
105;120
105;125
105;130
106;131
107;132
112;132
113;133
116;136
117;137
120;140
121;141
122;142
125;145
128;148
129;149
134;149
137;152
138;153
139;154
144;154
145;155
146;156
147;157
150;160
150;165
151;166
156;166
157;167
157;172
160;175
165;175
170;175
170;180
171;181
176;181
176;186
177;187
178;188
178;193
178;198
181;201
186;201
186;206
187;207
190;210
191;211
192;212
195;215
198;218
199;219
202;222
