Random;Random
0;55;5
6;6
6;11
11;11
14;14
14;19
17;22
18;23
21;26
26;26
29;29
34;29
39;29
40;30
45;30
45;35
48;38
48;43
49;44
52;47
57;47
62;47
62;52
65;55
65;60
65;65
65;70
68;73
73;73
73;78
73;83
73;88
76;91
77;92
82;92
85;95
88;98
91;101
92;102
97;102
102;102
105;105
105;110
110;110
111;111
111;116
111;121
112;122
113;123
118;123
123;123
124;124
129;124
130;125
131;126
132;127
135;130
140;130
140;135
141;136
142;137
145;140
146;141
149;144
154;144
155;145
160;145
163;148
168;148
169;149
172;152
175;155
175;160
180;160
185;160
190;160
191;161
194;164
197;167
200;170
201;171
206;171
207;172
207;177
207;182
210;185
211;186
216;186
219;189
219;194
224;194
227;197
228;198
233;198
238;198
241;201
246;201
246;206
251;206
