Random;Random
3;33;8
8;8
9;9
10;10
10;15
13;18
16;21
16;26
17;27
17;32
18;33
21;36
26;36
26;41
27;42
27;47
32;47
35;50
36;51
39;54
44;54
44;59
45;60
46;61
49;64
54;64
55;65
55;70
55;75
55;80
60;80
61;81
61;86
62;87
67;87
68;88
69;89
72;92
75;95
76;96
77;97
77;102
82;102
82;107
87;107
92;107
95;110
95;115
100;115
100;120
103;123
103;128
104;129
107;132
110;135
110;140
110;145
113;148
113;153
116;156
116;161
116;166
117;167
120;170
123;173
128;173
131;176
131;181
136;181
136;186
141;186
146;186
149;189
150;190
155;190
160;190
163;193
164;194
165;195
168;198
173;198
178;198
183;198
188;198
193;198
193;203
193;208
198;208
201;211
204;214
204;219
204;224
204;229
207;232
212;232
212;237
213;238
218;238
219;239
