Random,Random
1,16,1
6,6
9,9
9,14
9,19
10,20
10,25
15,25
16,26
19,29
22,32
27,32
30,35
33,38
33,43
36,46
36,51
39,54
40,55
45,55
50,55
55,55
60,55
61,56
62,57
65,60
65,65
66,66
67,67
67,72
67,77
70,80
75,80
75,85
78,88
79,89
79,94
80,95
83,98
86,101
89,104
90,105
90,110
93,113
96,116
99,119
104,119
105,120
106,121
111,121
114,124
114,129
114,134
115,135
115,140
116,141
116,146
117,147
117,152
117,157
120,160
121,161
126,161
131,161
132,162
133,163
136,166
137,167
140,170
141,171
146,171
151,171
156,171
157,172
158,173
163,173
168,173
168,178
171,181
172,182
173,183
173,188
176,191
179,194
179,199
182,202
185,205
186,206
191,206
192,207
192,212
192,217
195,220
195,225
198,228
199,229
202,232
207,232
208,233
