Random,Random
0,5
3,8
6,11
9,14
12,17
15,20
15,25
16,26
19,29
19,34
22,37
25,40
25,45
25,50
25,55
30,55
33,58
34,59
35,60
38,63
38,68
41,71
42,72
42,77
47,77
50,80
53,83
56,86
61,86
66,86
67,87
68,88
68,93
71,96
72,97
72,102
75,105
80,105
80,110
83,113
86,116
87,117
90,120
91,121
96,121
96,126
97,127
102,127
102,132
102,137
107,137
107,142
112,142
115,145
115,150
116,151
121,151
124,154
127,157
127,162
128,163
129,164
129,169
129,174
130,175
133,178
136,181
139,184
144,184
147,187
150,190
155,190
155,195
156,196
156,201
161,201
164,204
169,204
174,204
179,204
184,204
184,209
185,210
188,213
189,214
189,219
192,222
193,223
194,224
195,225
195,230
200,230
201,231
201,236
202,237
203,238
206,241
207,242
208,243
208,248
