Random,Random
5,010,0
13,3
16,6
19,9
24,9
27,12
32,12
33,13
36,16
41,16
44,19
44,24
49,24
54,24
57,27
60,30
63,33
66,36
66,41
71,41
74,44
79,44
82,47
85,50
85,55
90,55
93,58
96,61
96,66
101,66
106,66
109,69
112,72
117,72
117,77
118,78
123,78
126,81
126,86
126,91
131,91
136,91
141,91
141,96
146,96
149,99
154,99
157,102
157,107
157,112
158,113
161,116
161,121
166,121
166,126
169,129
169,134
174,134
177,137
182,137
185,140
185,145
185,150
186,151
189,154
190,155
191,156
194,159
195,160
196,161
197,162
202,162
203,163
203,168
208,168
208,173
209,174
212,177
217,177
220,180
221,181
224,184
227,187
232,187
237,187
240,190
241,191
241,196
246,196
246,201
246,206
249,209
250,210
255,210
255,215
258,218
259,219
259,224
259,229
